SetName,GathererSetCode
Alpha,1E
Beta,2E
Unlimited,2U
Revised,3E
Fourth Edition,4E
Fifth Edition,5E
Sixth Edition,6E
Seventh Edition,7E
Eighth Edition,8E
Ninth Edition,9ED
Tenth Edition,10E
Magic 2010,M10
Magic 2011,M11
Magic 2012,M12
Magic 2013,M13
Magic 2014,M14
Magic 2015,M15
Magic Origins,ORI
Arabian Nights,AN
Antiquities,AQ
Legends,LE
The Dark,DK
Fallen Empires,FE
Homelands,HM
Ice Age,IA
Alliances,AL
Coldsnap,CSP
Mirage,MI
Visions,VI
Portal,PO
Weatherlight,WL
Tempest,TE
Stronghold,ST
Exodus,EX
Urza's Saga,UZ
Urza's Legacy,GU
Urza's Destiny,CG
Mercadian Masques,MM
Nemesis,NE
Prophecy,PR
Invasion,IN
Planeshift,PS
Apocalypse,AP
Odyssey,OD
Torment,TOR
Judgment,JUD
Onslaught,ONS
Legions,LGN
Scourge,SCG
Mirrodin,MRD
Darksteel,DST
Fifth Dawn,5DN
Champions of Kamigawa,CHK
Betrayers of Kamigawa,BOK
Saviors of Kamigawa,SOK
Ravnica: City of Guilds,RAV
Guildpact,GPT
Dissension,DIS
Time Spiral,TSP
Planar Chaos,PLC
Future Sight,FUT
Lorwyn,LRW
Morningtide,MOR
Shadowmoor,SHM
Eventide,EVE
Shards of Alara,ALA
Conflux,CON
Alara Reborn,ARB
Zendikar,ZEN
Worldwake,WWK
Rise of the Eldrazi,ROE
Scars of Mirrodin,SOM
Mirrodin Besieged,MBS
New Phyrexia,NPH
Innistrad,ISD
Dark Ascension,DKA
Avacyn Restored,AVR
Return to Ravnica,RTR
Gatecrash,GTC
Dragon's Maze,DGM
Theros,THS
Born of the Gods,BNG
Journey into Nyx,JOU
Khans of Tarkir,KTK
Fate Reforged,FRF
Dragons of Tarkir,DTK
Battle for Zendikar,BFZ
Oath of the Gatewatch,OGW
Shadows over Innistrad,SOI
Eldritch Moon,EMN
Kaladesh,KLD
Aether Revolt,AER
Amonkhet,AKH
Hour of Devastation,HOU
Duel Decks: Knights vs. Dragons,DDG
Duel Decks: Elspeth vs. Kiora,DDO
Duel Decks: Blessed vs. Cursed,DDQ
Duel Decks: Ajani vs. Bolas,DDH
Duel Decks: Heroes vs. Monsters,DDL
Modern Masters,MMA
Modern Masters 2015,MM2
Eternal Masters,EMA
Modern Masters 2017,MM3
Commander,CMD
Commander 2013,C13
Commander 2014,C14
Commander 2015,C15
Commander 2016,C16
Commander 2017,C17
Conspiracy,CNS
Conspiracy: Take the Crown,CN2
From the Vault: 20,V13
From the Vault: Exiled,V09
Modern Event Deck ,MD1
